,INSEE_COM,PrixMoyen_M2_2223,Prixm2Moyen_2022,Prixm2Moyen_2023,loyer_apparts,loyer_maisons,R2appart,R2maison,Loyer_annuel_apparts,Loyer_annuel_maisons,Rendement_locatif_apparts,Rendement_locatif_maisons,INSEE_DEP,NOM_COM_M,POPULATION
11,09017,1162.5000000000025,1147.66666666667,1207.0,7.99999498549017,6.80815090208763,"0,701637250926066","0,641464989872241",95.99993982588204,81.69781082505156,8.258059339860804,7.0277686731227,09,Arrien-en-Bethmale,125
12,09018,1410.199999999998,1452.0,1382.33333333333,7.99999498549017,6.80815090208763,"0,701637250926066","0,641464989872241",95.99993982588204,81.69781082505156,6.807540762011217,5.793349228836455,09,Arrout,96
13,09019,1804.9,2404.1,1205.7,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,5.380284678287065,4.4066554800130975,09,Artigat,564
14,09022,1430.6666666666667,1295.0,1498.5,9.63237300325992,7.65452578433497,"0,747412637084959","0,607178798815941",115.58847603911904,91.85430941201965,8.079343618764144,6.420385094036787,09,Arvigna,239
15,09023,1814.375,2056.0,1572.75,8.40769589863448,6.08034104987485,"0,736129153720724","0,730219105533966",100.89235078361376,72.9640925984982,5.5607220549012055,4.021444993372274,09,Ascou,120
16,09024,1574.1428571428555,1554.33333333333,1589.0,8.56738996126048,7.34687306232167,"0,738443972705019","0,687306582108781",102.80867953512576,88.16247674786004,6.531089543024602,5.6006655525457925,09,Aston,197
17,09025,1802.8000000000025,1743.66666666667,1891.5,7.99999498549017,7.24510605850142,"0,701637250926066","0,690209572235891",95.99993982588204,86.94127270201705,5.325046584528618,4.822568931773738,09,Aucazein,64
18,09026,1634.2857142857126,1855.5,1339.33333333333,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,5.689654189301586,4.9989919211133005,09,Audressein,147
19,09027,1906.833333333335,1252.66666666667,2561.0,8.64648467864198,6.80815090208763,"0,653507028132275","0,641464989872241",103.75781614370376,81.69781082505156,5.441367859996696,4.284475700990376,09,Augirein,80
20,09029,1116.2916666666667,1103.1875,1142.5,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,8.329830669226029,7.318679630477539,09,Aulus-les-Bains,148
21,09030,1032.5238095238108,966.866666666667,1196.66666666667,7.7487671340012,7.34687306232167,"0,67184343158923","0,687306582108781",92.9852056080144,88.16247674786004,9.005623381304709,8.538541768690028,09,Auzat,568
